player_id,minutes_played_season,goals_total,assists_total,yellow_cards,red_cards,market_value_eur,player_name,date_of_birth,position,sub_position,age,transfer_fee_eur,season_year,competition_and_season,sb_matches_played,sb_goals,sb_assists,sb_shots,sb_xg,sb_passes,sb_pass_completed,sb_tackles,sb_interceptions,sb_dribbles_completed,sb_minutes_played,sb_pass_accuracy,bmi,season_days_injured,days_injured_prev_season,cumulative_days_injured,injury_days_per_game,injury_trend,severe_injury_this_season,injury_risk_score,fan_sentiment,media_sentiment
5303,2009,7,6,1,0,500000,Souleymane Camara,22-12-1982,Attack,Right Winger,33,0,2015,Ligue 1_2015/2016,33,7,6,47,6.786569986,595,415,25,11,11,95,0.697478992,23.42773844,0,0,0,0,0,0,0,0.0013434,0.660066032
5308,2346,0,0,1,0,2000000,Cédric Carrasso,30-12-1981,Goalkeeper,Goalkeeper,34,0,2015,Ligue 1_2015/2016,20,0,0,0,0,581,350,0,0,0,97,0.602409639,23.42773844,0,0,0,0,0,0,0,0.505884749,-0.149923638
5338,3420,0,0,2,0,500000,Rémy Vercoutre,26-06-1980,Goalkeeper,Goalkeeper,35,0,2015,Ligue 1_2015/2016,38,0,0,0,0,1042,579,0,0,1,94,0.555662188,23.42773844,0,0,0,0,0,0,0,0.207876291,0.292060686
5339,1938,0,0,0,0,250000,Jérémie Bréchet,14-08-1979,Defender,Centre-Back,36,0,2015,Ligue 1_2015/2016,22,0,0,1,0.012659233,845,704,31,28,2,95,0.833136095,23.42773844,0,0,0,0,0,0,0,0.424079472,0.065727045
5348,1944,0,1,6,0,500000,Florent Balmont,02-02-1980,Midfield,Central Midfield,35,0,2015,Ligue 1_2015/2016,28,0,1,30,0.75361196,1344,1119,38,18,15,94,0.832589286,23.42773844,0,0,0,0,0,0,0,0.441128095,0.199162295
5404,4074,4,2,10,0,9000000,Jérémy Mathieu,29-10-1983,Defender,Left-Back,30,0,2013,La Liga_2013/2014,1,0,0,0,0,44,35,3,3,1,90,0.795454545,23.42773844,0,0,0,0,0,0,0,0.222810165,0.003029418
5404,2764,3,0,6,0,15000000,Jérémy Mathieu,29-10-1983,Defender,Left-Back,31,0,2014,Champions League_2014/2015,1,0,0,0,0,1,0,0,0,0,92,0,23.42773844,0,0,0,0,0,0,0,0.050823224,0.33659928
5404,2764,3,0,6,0,15000000,Jérémy Mathieu,29-10-1983,Defender,Left-Back,31,0,2014,La Liga_2014/2015,28,2,0,11,0.77537221,1563,1385,40,31,11,93,0.886116443,23.42773844,0,0,0,0,0,0,0,0.379134904,0.177476665
5404,2348,0,3,3,0,10000000,Jérémy Mathieu,29-10-1983,Defender,Left-Back,32,0,2015,La Liga_2015/2016,21,0,2,7,0.531517492,832,735,17,19,5,94,0.883413462,23.42773844,0,0,0,0,0,0,0,0.198622344,0.152198388
5404,1145,1,0,2,0,3000000,Jérémy Mathieu,29-10-1983,Defender,Left-Back,33,0,2016,La Liga_2016/2017,10,1,0,4,0.825008266,596,536,11,2,2,94,0.899328859,23.42773844,0,0,0,0,0,0,0,-0.026976375,-0.048476371
5422,609,1,0,5,0,500000,Philippe Mexès,30-03-1982,Defender,Centre-Back,33,0,2015,Serie A_2015/2016,5,1,0,5,0.305231353,227,192,9,9,0,93,0.845814978,23.42773844,0,0,0,0,0,0,0,0.44094967,-0.134650306
5430,1386,0,1,6,1,500000,Lionel Mathis,04-10-1981,Midfield,Defensive Midfield,34,0,2015,Ligue 1_2015/2016,20,0,1,11,0.509839987,777,623,46,15,2,95,0.801801802,23.42773844,0,0,0,0,0,0,0,0.072104094,-0.322431484
5451,2214,1,0,5,1,500000,Alaeddine Yahia,26-09-1981,Defender,Centre-Back,34,0,2015,Ligue 1_2015/2016,26,1,0,16,1.68735212,727,528,36,16,1,94,0.726272352,23.42773844,0,0,0,0,0,0,0,-0.555406927,-0.287632637
5457,2702,5,4,7,0,500000,Gaël Danic,19-11-1981,Attack,Left Winger,34,0,2015,Ligue 1_2015/2016,36,5,3,41,3.721017702,1233,752,51,22,38,97,0.609894566,23.42773844,0,0,0,0,0,0,0,0.073519132,0.012112906
5486,1633,1,0,4,0,500000,Seydou Keita,16-01-1980,Midfield,Central Midfield,35,0,2015,Serie A_2015/2016,20,1,0,13,0.861072222,800,690,26,16,6,95,0.8625,23.42773844,0,0,0,0,0,0,0,-0.188194444,0.440750993
